"RbId";"tBeg";"tEnd";"tVol_m3";"maxIntens_m3_s";"tBSB_g";"outlet_id";"upstream_link_id";"gerris_id";"surface_water";"water_body_km";"y-coordinate";"x-coordinate";"lat_grad";"lat_min";"lat_s";"lon_grad";"lon_min";"lon_s";"comment"
"R1336";2011-06-06 20:15:00;2011-06-06 20:30:00;133.209;0.144;22.12;"20283003";"20283E01.1";"R1336";"Spree";7.2;17701.8;22214;52;31;35;13;17;48;NA
"R1738";NA;NA;0;0;0;"20291001";"20293704.1";"R1738";"Spree";6;16902.7;22505.7;52;31;44;13;17;6;NA
"R1736";2011-06-06 20:45:00;2011-06-08 14:15:00;1969.173;0.317;223.77;"20301001";"20301505.1";"R1736";"Spree";5.3;16222.6;22500.3;52;31;44;13;16;30;NA
"R1735";2011-06-06 20:45:00;2011-06-08 16:15:00;4769.136;0.683;586.6;"20301005";"20301505.2";"R1735";"Spree";5.2;16131.8;22482.3;52;31;44;13;16;25;NA
"R1734";2011-06-06 20:00:00;2011-06-08 11:15:00;5083.695;1.84;41.77;"20323001";"20325704.1";"R1734";"Spree";3.3;14671.6;22325.1;52;31;38;13;15;8;NA
"R1751";2011-06-06 20:45:00;2011-06-06 23:15:00;8384.13;1.97;357.11;"20372004";"20372704.1";"R1751";"Untere_Havel";0.9;11113.7;22529.7;52;31;44;13;11;59;NA
"R1352";2011-06-06 20:00:00;2011-06-08 16:00:00;1593.612;0.537;79.08;"21282006";"21282505.1";"R1352";"Westhafenkanal";0.8;18096;23038.6;52;32;2;13;18;9;NA
"R1753";2011-06-06 20:00:00;2011-06-08 16:00:00;1143.495;0.463;85.81;"21283001";"21281512.1";"R1753";"Westhafenkanal";0.4;17725.6;22943.6;52;31;59;13;17;49;NA
"R1337";NA;NA;0;0;0;"21296001";"21285003.1";"R1337";"Spree";6.4;17341.9;22691;52;31;50;13;17;29;NA
"R1737";2011-06-06 20:00:00;2011-06-08 12:00:00;3939.741;0.814;214.28;"21306001";"21306701.1";"R1737";"Spree";5.3;16600;22700;52;31;51;13;16;50;NA
"R1748";2011-06-06 20:00:00;2011-06-08 13:15:00;1287.396;0.569;8.09;"21361001";"21361531.1";"R1748";"Untere_Havel";0.1;11534.7;23149.6;52;32;4;13;12;21;NA
"R1749";2011-06-06 20:30:00;2011-06-06 21:00:00;162.45;0.126;5.74;"21361010";"21361E09.1";"R1749";"Untere_Havel";0.3;11387.2;23108.5;52;32;3;13;12;13;NA
"R1750";2011-06-06 20:30:00;2011-06-06 22:15:00;5068.53;1.64;199.58;"21361014";"21361516.1";"R1750";"Untere_Havel";0.4;11317;23053.9;52;32;1;13;12;9;NA
"R1726";2011-06-06 20:45:00;2011-06-06 22:45:00;191.898;0.155;0.36;"22225003";"22225703.1";"R1726";"Panke";0.1;22485;23315;52;32;11;13;22;2;NA
"R1346";2011-06-06 20:45:00;2011-06-06 21:00:00;75.24;0.0429;10.16;"22233002";"22233E01.1";"R1346";"Berlin-Spandauer_Schifffahrtskanal";10;21906.6;23498.8;52;32;17;13;21;31;NA
"R1348";2011-06-06 20:15:00;2011-06-08 12:00:00;4632.975;1.47;404.25;"22233005";"22231713.1";"R1348";"Berlin-Spandauer_Schifffahrtskanal";9.9;21740.3;23588;52;32;20;13;21;22;NA
"R1347";2011-06-06 20:15:00;2011-06-06 21:15:00;271.674;0.181;25.58;"22233006";"22231704.1";"R1347";"Berlin-Spandauer_Schifffahrtskanal";9.9;21746.3;23585.1;52;32;20;13;21;23;NA
"R1345";2011-06-06 20:15:00;2011-06-08 11:45:00;1922.4;0.538;180.54;"22236001";"22223701.1";"R1345";"Berlin-Spandauer_Schifffahrtskanal";10.6;22387.3;23303.9;52;32;11;13;21;57;NA
"R1350";NA;NA;0;0;0;"22252rue5out";"22252rue5.1";"R1350";"Berlin-Spandauer_Schifffahrtskanal";8.7;20626.7;23615.1;52;32;21;13;20;23;NA
"R1349";NA;NA;0;0;0;"22252rue6out";"22252303.2";"R1349";"Berlin-Spandauer_Schifffahrtskanal";8.7;20663.7;23663.2;52;32;22;13;20;25;NA
"R1754";2011-06-06 20:00:00;2011-06-08 15:30:00;713.691;0.222;14.4;"22263002";"22264516.1";"R1754";"Westhafenkanal";2.3;19622.9;23391.4;52;32;13;13;19;30;NA
"R1755";2011-06-06 20:15:00;2011-06-06 21:45:00;5174.37;1.85;168.7;"22366005";"22366E04.1";"R1755";"Havel";0.1;11662.7;23365.1;52;32;11;13;12;28;"Ist für die Weitergabe an Gerris eine Sammlung aller in die Oberhavel entlastenden Überläufe"
"R1351";NA;NA;0;0;0;"23255001";"23255701.1";"R1351";"Berlin-Spandauer_Schifffahrtskanal";8.3;20206;23833;52;32;28;13;20;1;NA
"R1662";NA;NA;0;0;0;"23255002";"23256E01.1";"R1662";"Berlin-Spandauer_Schifffahrtskanal";8.3;20275;23807;52;32;27;13;20;4;NA
"R1730";2011-06-06 20:00:00;2011-06-06 21:45:00;6333.3;1.72;797.3;"25211003";"25211701.1";"R1730";"Panke";2.8;23449.8;25501.9;52;33;22;13;22;53;NA
"R1727";2011-06-06 20:00:00;2011-06-06 21:00:00;218.61;0.085;23.96;"25215002";"25215718.1";"R1727";"Panke";2.3;23203.5;25160.5;52;33;11;13;22;40;NA
"R1729";2011-06-06 20:00:00;2011-06-08 11:00:00;480.15;0.222;52.02;"25226000";"25226003.2";"R1729";"Panke";2.3;23208.5;25169.2;52;33;11;13;22;40;NA
"R1728";2011-06-06 20:00:00;2011-06-08 11:15:00;3900.024;1.1;406;"25226004";"25215001.1";"R1728";"Panke";2.3;23190.2;25126.8;52;33;10;13;22;39;NA
"R1732";2011-06-06 20:00:00;2011-06-08 11:00:00;700.38;0.319;58.2;"26213005";"26214703.1";"R1732";"Panke";3.2;23580.9;25844;52;33;33;13;22;59;NA
"R1733";2011-06-06 20:00:00;2011-06-06 20:30:00;247.626;0.188;21.98;"26213007";"26213E06.1";"R1733";"Panke";3.2;23578;25854.3;52;33;34;13;22;59;NA
"R1731";2011-06-06 20:00:00;2011-06-06 20:15:00;72.9;0.0523;4.25;"26213E01";"26213001.2";"R1731";"Panke";3.2;23585;25865.6;52;33;34;13;23;0;NA
